participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trust_choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
95,frqrkc64,657dd22938e31904b66ca3b4,0,29,29,Thanks,MyPage,2024-03-20 15:25:32.985801,1,,,50.0,95,,0.0,4,1,1,slvfalvu,,,,,0
96,3kh9w5mk,62a099bb01ad779df1971ea4,0,29,29,Thanks,MyPage,2024-03-20 15:26:07.278182,1,,,150.0,96,,0.0,4,1,1,slvfalvu,,,,,0
97,n40q5s3p,64e970e4337e163e71677537,0,29,29,Thanks,MyPage,2024-03-20 15:26:32.504404,1,,,200.0,97,,0.0,2,1,1,slvfalvu,,,,,0
98,ebv028me,63b63938dbf229f3eb46d4a4,0,29,29,Thanks,MyPage,2024-03-20 15:26:46.046225,1,,,200.0,98,,0.0,4,1,1,slvfalvu,,,,,0
99,uf6cxosd,65e91c3fb210430e176c0582,0,29,29,Thanks,MyPage,2024-03-20 15:27:06.139444,1,,,50.0,99,,0.0,3,1,1,slvfalvu,,,,,0
100,sguddyr8,61705235c277934df17055e6,0,29,29,Thanks,MyPage,2024-03-20 15:27:24.970645,1,,,150.0,100,,0.0,2,1,1,slvfalvu,,,,,0
101,q5rqazbr,65dcca0d187f1e33aa00fca1,0,29,29,Thanks,MyPage,2024-03-20 15:27:39.359170,1,,,200.0,101,,0.0,1,1,1,slvfalvu,,,,,0
102,h8qdvw4g,5bd494e5669ee1000144c587,0,29,29,Thanks,MyPage,2024-03-20 15:27:39.914977,1,,,150.0,102,,0.0,1,1,1,slvfalvu,,,,,0
103,n9vx51wn,654ba95a19813f11335c3098,0,6,29,Intro_ST,TestPage,2024-03-20 15:27:49.835147,1,,,0.0,103,,0.0,,1,1,slvfalvu,,,,,0
104,31idpyk4,65814eeb46e0e08413c672b5,0,7,29,Intro_ST,TestAnsPage,2024-03-20 15:28:33.793641,1,,,0.0,104,,0.0,,1,1,slvfalvu,,,,,0
105,meoh7lty,62dc2f6e1e5f78dd81cb4920,0,29,29,Thanks,MyPage,2024-03-20 15:29:11.546924,1,,,50.0,105,,0.0,4,1,1,slvfalvu,,,,,0
106,1uhk1zk3,648a3e85644594030e52bcfd,0,29,29,Thanks,MyPage,2024-03-20 15:30:06.428821,1,,,50.0,106,,0.0,1,1,1,slvfalvu,,,,,0
